source_file,page_type,date_text,title,notice_id,agency,due_date,naics,psc,set_aside,place_of_performance,source_url,description,fsg,keywords,source_publication,article_url,row_number
mybidmatch_daily_2026-05-08.html,daily_list,,"""Freedom 250"" Public Events and Outreach Support, U.S. Embassy S...",,STATE,,,,,,,,R,naics!541820; public?;,procure,https://mybidmatch.outreachsystems.com/article?doc=1AFF29E2-2695-4A40-93AC-9EA8B254143B&seq=2,2
mybidmatch_daily_2026-05-08.html,daily_list,,BUNKER HILL 251st EVENT MANAGEMENT SERVICES,,INTERIOR,,,,,,,,R,naics!561920;,procure,https://mybidmatch.outreachsystems.com/article?doc=1AFF29E2-2695-4A40-93AC-9EA8B254143B&seq=3,3
mybidmatch_daily_2026-05-08.html,daily_list,,"Collection and Treatment Services for Collection, Holding, and T...",,DEPT OF DEFENSE,,,,,,,,S,waste?; ship*; transport*;,procure,https://mybidmatch.outreachsystems.com/article?doc=1AFF29E2-2695-4A40-93AC-9EA8B254143B&seq=4,4
mybidmatch_daily_2026-05-08.html,daily_list,,USFS California State Regional Vault Toilet and Septic Pumping I...,,AGRICULTURE,,,,,,,,S,waste?; haul*; storage;,procure,https://mybidmatch.outreachsystems.com/article?doc=1AFF29E2-2695-4A40-93AC-9EA8B254143B&seq=5,5
mybidmatch_daily_2026-05-08.html,daily_list,,Termite Treatment & Fumigation Services,,DEPT OF DEFENSE,,,,,,,,S,commercial?; produc*;,procure,https://mybidmatch.outreachsystems.com/article?doc=1AFF29E2-2695-4A40-93AC-9EA8B254143B&seq=6,6
mybidmatch_daily_2026-05-08.html,daily_list,,Janitorial Services - Mercedes,,INTERNATIONAL BOUNDARY AND WATER COMMISSION: US-MEXICO,,,,,,,,S,trash; haul*;,procure,https://mybidmatch.outreachsystems.com/article?doc=1AFF29E2-2695-4A40-93AC-9EA8B254143B&seq=7,7
mybidmatch_daily_2026-05-08.html,daily_list,,Garbage Collection for U.S Embassy and Residences,,STATE,,,,,,,,S,commercial?; produc*;,procure,https://mybidmatch.outreachsystems.com/article?doc=1AFF29E2-2695-4A40-93AC-9EA8B254143B&seq=8,8
mybidmatch_daily_2026-05-08.html,daily_list,,Patient Taxi and Rideshare Transport Services,,HEALTH AND HUMAN SERVICES,,,,,,,,V,commercial?; produc*; relocat*; transport*; ti:transport*; cat:v;,procure,https://mybidmatch.outreachsystems.com/article?doc=1AFF29E2-2695-4A40-93AC-9EA8B254143B&seq=9,9
mybidmatch_daily_2026-05-08.html,daily_list,,Blanket Purchase Agreement - Furniture Moving Services,,STATE,,,,,,,,V,moving?; company; servic*; ti:moving?; cat:v;,procure,https://mybidmatch.outreachsystems.com/article?doc=1AFF29E2-2695-4A40-93AC-9EA8B254143B&seq=10,10
mybidmatch_daily_2026-05-08.html,daily_list,,"Contract Delivery Service (CDS) HCR 995A8 GLENNALLEN, AK - H001,...",,POSTAL SERVICE,,,,,,,,V,deliver*; servic*; cat:v; office?; ti:deliver*;,procure,https://mybidmatch.outreachsystems.com/article?doc=1AFF29E2-2695-4A40-93AC-9EA8B254143B&seq=11,11
mybidmatch_daily_2026-05-08.html,daily_list,,Yellow Ribbon NMARNG Albuquerque/Rio Rancho NM 18-19 June 2026,,DEPT OF DEFENSE,,,,,,,,V,commercial?; produc*;,procure,https://mybidmatch.outreachsystems.com/article?doc=1AFF29E2-2695-4A40-93AC-9EA8B254143B&seq=12,12
mybidmatch_daily_2026-05-08.html,daily_list,,"Contract Delivery Service (CDS) HCR 99572 TOK, AK - H072, AK",,POSTAL SERVICE,,,,,,,,V,deliver*; servic*; cat:v; office?; ti:deliver*;,procure,https://mybidmatch.outreachsystems.com/article?doc=1AFF29E2-2695-4A40-93AC-9EA8B254143B&seq=13,13
