notice_id,timestamp,note_type,note_text,stage,source
140FS126Q0097,2026-05-23 23:10:01,risk_note,WOSB,Archive,operator
127EAT26Q0061,2026-05-23 23:12:10,general_note,Manual document upload received; moved to AI Review.,AI Review,dashboard_upload
127EAT26Q0061,2026-05-23 23:12:55,general_note,AI review completed from dashboard; moved to Development.,Development,dashboard_action
PSC_HPST_SVCS_RFI,2026-05-23 23:44:01,risk_note,"Too short of time, not sure how to find a contractor for this.",Archive,operator
127EAY26Q0068,2026-05-23 23:45:44,general_note,Seems doable,Intake,operator
127EAY26Q0068,2026-05-23 23:46:38,general_note,Manual document upload received; moved to AI Review.,AI Review,dashboard_upload
127EAY26Q0068,2026-05-23 23:47:24,general_note,AI review completed from dashboard; moved to Development.,Development,dashboard_action
1305M226Q0114,2026-05-24 00:56:44,general_note,Manual document upload received; moved to AI Review.,AI Review,dashboard_upload
1305M226Q0114,2026-05-24 00:57:34,general_note,AI review completed from dashboard; moved to Development.,Development,dashboard_action
1305M226Q0114,2026-05-24 22:57:46,general_note,Manual document upload received; moved to AI Review.,AI Review,dashboard_upload
