notice_actionability,award_notice_flag,market_intel_value,awardee_name,award_amount,award_date,award_number,fit_score,prime_reality_score,recommendation,conditional_recommendation,matched_lane,evaluation_method,submission_method,forms_required_text,amendment_compliance_alert,amendment_compliance_task,deadline_status,days_until_deadline,due_date_solicitation_local,due_date_user_local,on_site_staffing_flag,mandatory_staffing_flag,telework_ambiguity_flag,remote_feasibility_score,local_staffing_dependency,performance_location_risk,staffing_model,execution_risk,compliance_risk,rfi_needed,rfi_recommendation,set_aside_hard_gate,set_aside_hard_gate_reason,force_teaming_target,small_business_subcontracting_check,subcontracting_note,prime_case_report_required,prime_case_report_note,team_lock_alert,team_lock_note,idiq_ceiling_detected,idiq_ceiling_text,guaranteed_minimum_text,step1_mandatory_flag,step1_deadline_note,step1_deadline_text,scientific_domain_complexity_flag,scientific_domain_terms,scientific_domain_note,subcontractor_role_classifier,attachment_review_needed,attachment_review_priority,attachment_download_ready,attachment_discovery_method,resource_link_type_summary,actual_downloadable_attachment_count,actual_downloadable_attachment_links,sam_detail_api_link_count,sam_detail_api_links,sam_notice_desc_link_count,sam_notice_desc_links,sam_workspace_link_count,sam_workspace_links,external_portal_link_count,external_portal_links,unknown_resource_link_count,unknown_resource_links,likely_documents_needed,likely_pws_needed,likely_sf1449_needed,likely_sf30_needed,likely_pricing_needed,attachment_keywords_detected,attachment_next_action,local_attachment_folder,local_attachments_found,local_attachment_count,local_attachment_file_list,local_attachment_likely_types,local_pdf_count,local_doc_count,local_docx_count,local_xls_count,local_xlsx_count,local_csv_count,local_zip_count,local_txt_count,local_pws_found,local_sf1449_found,local_sf30_found,local_pricing_found,local_wage_determination_found,local_solicitation_found,local_attachment_next_action,ready_for_bid_no_bid_analysis,sam_detail_enriched,sam_detail_enrichment_source,sam_detail_enrichment_note,sam_detail_debug_json_path,sam_detail_raw_resource_links,sam_detail_raw_links,sam_detail_raw_attachments,sam_detail_raw_documents,sam_detail_raw_files,description_enriched,resource_link_count,has_resource_links,resource_links,psc_code,title,department_ind_agency,notice_id,solicitation_number,sam_notice_id,naics_code,notice_type,set_aside,response_deadline,posted_date,archive_date,place_of_performance,contacts,ui_link,short_description,score_reasons
actionable,No,,,,,,69,0,Review,Teaming/Subcontractor Target — Prime blocked by set-aside,pest_control,Unknown,SAM.gov,,No,,reasonable,12,2026-06-01 10:00 AM UTC-07:00,2026-06-01 12:00 PM CDT,No,No,No,3,Unclear,unknown,unclear,Medium,Medium,No,,Yes,"SDVOSB set-aside detected, but company profile does not show verified SDVOSB status.",Yes,No,,No,,No,,No,,,No,,,No,,,,Yes,Medium,No,resource_links_unclassified,"direct_download=0, sam_detail_api=0, sam_notice_description_api=0, sam_workspace_page=0, external=0, unknown=1",0,,0,,0,,0,,0,,1,https://sam.gov/api/prod/opps/v3/opportunities/resources/files/5dd54f4d0a7941a881ab306ab6556c2a/download,Solicitation / RFQ / RFP,Unknown,Unknown,Unknown,Unknown,solicitation,Resource links exist but are not classified as downloadable. Manual review or selected detail enrichment is required.,downloads/36C26126Q0680,No,0,,,0,0,0,0,0,0,0,0,No,No,No,No,No,No,"No local files found. Download SAM.gov attachments manually into downloads/36C26126Q0680/, then rerun offline scan.",No,,,,,,,,,,No,1,Yes,https://sam.gov/api/prod/opps/v3/opportunities/resources/files/5dd54f4d0a7941a881ab306ab6556c2a/download,S207,S207--Integrated Pest Management Services,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.261-NETWORK CONTRACT OFFICE 21 (36C261)",36C26126Q0680,36C26126Q0680,005e615b2cfd474dbebc480d214f02ab,561710,Presolicitation,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-01T10:00:00-07:00,2026-05-15,2026-06-15,"{'name': 'Fresno'}, {'name': 'CA'}, 93703, {'code': 'USA', 'name': 'UNITED STATES'}",primary | Kulvinder Brar | kulvinder.brar@va.gov | N/A,https://sam.gov/workspace/contract/opp/005e615b2cfd474dbebc480d214f02ab/view,,"Best matched lane: pest_control | Lane NAICS match: 561710 | Lane keywords: integrated pest management, pest management | Company NAICS match: 561710 | Matched keywords: integrated pest management, pest management | Matched core strengths: Integrated pest management, Pest management | Small business set-aside or small business language detected | Veteran-owned business language detected | Active solicitation-type notice | Reasonable response window: 12 day(s) remaining | SDVOSB set-aside detected, but company profile does not show verified SDVOSB status."
actionable,No,,,,,,67,0,Review,Teaming/Subcontractor Target — Prime blocked by set-aside,janitorial_facility_support,Unknown,SAM.gov,,No,,reasonable,13,2026-06-03 11:00 AM UTC-05:00,2026-06-03 11:00 AM CDT,No,No,No,3,Unclear,unknown,unclear,Medium,Medium,No,,Yes,"SDVOSB set-aside detected, but company profile does not show verified SDVOSB status.",Yes,No,,No,,No,,No,,,No,,,No,,,,Yes,Medium,No,sam_detail_enrichment_required,"direct_download=0, sam_detail_api=1, sam_notice_description_api=0, sam_workspace_page=0, external=0, unknown=0",0,,1,https://api.sam.gov/prod/opportunities/v2/search?noticeid=660a95bf18304d9c99eb7f63ecda19d8&limit=1,0,,0,,0,,0,,"Questions and Answers, Solicitation / RFQ / RFP",Unknown,Unknown,Unknown,Unknown,"qa, solicitation","Actual attachment links are not available yet. Run selected SAM detail enrichment for this opportunity, or open the SAM.gov workspace page manually to locate attachments.",downloads/W15QKN26QA064,No,0,,,0,0,0,0,0,0,0,0,No,No,No,No,No,No,"No local files found. Download SAM.gov attachments manually into downloads/W15QKN26QA064/, then rerun offline scan.",No,,,,,,,,,,No,1,Yes,https://api.sam.gov/prod/opportunities/v2/search?noticeid=660a95bf18304d9c99eb7f63ecda19d8&limit=1,S201,"W15QKN26QA064 Custodial Services in New Kensington, PA (PA067)",DEPT OF DEFENSE.DEPT OF THE ARMY.AMC.ACC.ACC-CTRS.ACC-NJ.W6QK ACC-PICA,W15QKN26QA064,W15QKN26QA064,660a95bf18304d9c99eb7f63ecda19d8,561720,Solicitation,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-03T11:00:00-05:00,2026-05-18,2027-05-18,15068,primary | TYLER BEHR | tyler.e.behr2.civ@army.mil | 609-562-4299,https://sam.gov/workspace/contract/opp/660a95bf18304d9c99eb7f63ecda19d8/view,,"Best matched lane: janitorial_facility_support | Lane NAICS match: 561720 | Lane keywords: custodial, custodial services | Company NAICS match: 561720 | Matched keywords: custodial, custodial services | Matched core strengths: Custodial services | Small business set-aside or small business language detected | Veteran-owned business language detected | Active solicitation-type notice | Reasonable response window: 13 day(s) remaining | SDVOSB set-aside detected, but company profile does not show verified SDVOSB status."
actionable,No,,,,,,65,65,Review,Review as Prime or Teaming Candidate,pest_control,Unknown,SAM.gov,,No,,reasonable,13,2026-06-02 04:00 PM UTC-04:00,2026-06-02 03:00 PM CDT,No,No,No,3,Unclear,unknown,unclear,Medium,Low,No,,No,,No,No,,No,,No,,No,,,No,,,No,,,,Yes,Medium,No,sam_detail_completed_no_attachments,"direct_download=0, sam_detail_api=1, sam_notice_description_api=0, sam_workspace_page=0, external=0, unknown=0",0,,1,https://api.sam.gov/prod/opportunities/v2/search?noticeid=4848111d989545ec9e20b3e6d02ccf2f&limit=1,0,,0,,0,,0,,Solicitation / RFQ / RFP,Unknown,Unknown,Unknown,Unknown,"combined synopsis, solicitation","SAM detail enrichment was completed, but the API response did not expose downloadable attachments. Open the SAM.gov workspace manually or use a browser automation workflow to retrieve files.",downloads/HE125426QE041,Yes,6,"unclass-certificates_pkcs7_DoD.zip — ZIP Attachment Package — 121215 bytes
unclass-certificates_pkcs7_ECA.zip — ZIP Attachment Package — 24686 bytes
unclass-certificates_pkcs7_ECA_2.zip — ZIP Attachment Package — 24686 bytes
unclass-certificates_pkcs7_WCF.zip — ZIP Attachment Package — 36871 bytes
unclass-dod_approved_external_pkis_master_document.pdf — Other — 1389371 bytes
unclass-dod_approved_external_pkis_trust_chains.zip — ZIP Attachment Package — 257739 bytes","Other, ZIP Attachment Package",1,0,0,0,0,0,5,0,No,No,No,No,No,No,"Local attachments found. Review/classify documents and prepare bid/no-bid analysis. Confirm PWS/SOW, solicitation form, pricing schedule, amendments, and submission instructions.",No,Yes,https://api.sam.gov/prod/opportunities/v2/search?noticeid=4848111d989545ec9e20b3e6d02ccf2f&limit=1,,,,"[{""rel"": ""self"", ""href"": ""https://api.sam.gov/prod/opportunities/v2/search?noticeid=4848111d989545ec9e20b3e6d02ccf2f&limit=1""}]",,,,No,1,Yes,https://api.sam.gov/prod/opportunities/v2/search?noticeid=4848111d989545ec9e20b3e6d02ccf2f&limit=1,S207,Fort Campbell Integrated Pest Management (IPM) Services,DEPT OF DEFENSE.DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA).DOD EDUCATION ACTIVITY,HE125426QE041,HE125426QE041,4848111d989545ec9e20b3e6d02ccf2f,561710,Combined Synopsis/Solicitation,Total Small Business Set-Aside (FAR 19.5),2026-06-02T16:00:00-04:00,2026-05-06,2027-05-06,42223,primary | Sarah Elizabeth Adan | sarah.adan@dodea.edu,https://sam.gov/workspace/contract/opp/4848111d989545ec9e20b3e6d02ccf2f/view,,"Best matched lane: pest_control | Lane NAICS match: 561710 | Lane keywords: IPM, integrated pest management, pest management | Company NAICS match: 561710 | Matched keywords: IPM, integrated pest management, pest management | Matched core strengths: Integrated pest management, Pest management | Small business set-aside or small business language detected | Active solicitation-type notice | Reasonable response window: 13 day(s) remaining"
actionable,No,,,,,,65,0,Review,Teaming/Subcontractor Target — Prime blocked by set-aside,pest_control,Unknown,SAM.gov,,No,,reasonable,16,2026-06-05 03:00 PM UTC-04:00,2026-06-05 02:00 PM CDT,No,No,No,3,Unclear,unknown,unclear,Medium,Medium,No,,Yes,"SDVOSB set-aside detected, but company profile does not show verified SDVOSB status.",Yes,No,,No,,No,,No,,,No,,,No,,,,Yes,Medium,No,resource_links_unclassified,"direct_download=0, sam_detail_api=0, sam_notice_description_api=0, sam_workspace_page=0, external=0, unknown=3",0,,0,,0,,0,,0,,3,https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4580d970f3df4291955f17e201aeb17d/download | https://sam.gov/api/prod/opps/v3/opportunities/resources/files/6a94e2b658094ff9be99e24a80d2c6ee/download | https://sam.gov/api/prod/opps/v3/opportunities/resources/files/6b3eac924011498ab24d29fb57a43bce/download,Solicitation / RFQ / RFP,Unknown,Unknown,Unknown,Unknown,"combined synopsis, solicitation",Resource links exist but are not classified as downloadable. Manual review or selected detail enrichment is required.,downloads/36C78626Q50174,No,0,,,0,0,0,0,0,0,0,0,No,No,No,No,No,No,"No local files found. Download SAM.gov attachments manually into downloads/36C78626Q50174/, then rerun offline scan.",No,,,,,,,,,,No,3,Yes,https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4580d970f3df4291955f17e201aeb17d/download | https://sam.gov/api/prod/opps/v3/opportunities/resources/files/6a94e2b658094ff9be99e24a80d2c6ee/download | https://sam.gov/api/prod/opps/v3/opportunities/resources/files/6b3eac924011498ab24d29fb57a43bce/download,S207,"Pest Control (Geese Mitigation) Services, Ft Logan National Cemetery","VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.NATIONAL CEMETERY ADMIN (36C786)",36C78626Q50174,36C78626Q50174,164a54f3eafd4d1ba933d6232563e30d,561710,Combined Synopsis/Solicitation,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-05T15:00:00-04:00,2026-05-13,2026-06-20,"{'code': '20000', 'name': 'Denver'}, {'code': 'CO', 'name': 'Colorado'}, 80236, {'code': 'USA', 'name': 'UNITED STATES'}",primary | Brian Werner | brian.werner2@va.gov,https://sam.gov/workspace/contract/opp/164a54f3eafd4d1ba933d6232563e30d/view,,"Best matched lane: pest_control | Lane NAICS match: 561710 | Lane keywords: pest control | Company NAICS match: 561710 | Matched keywords: pest control | Matched core strengths: Pest control | Small business set-aside or small business language detected | Veteran-owned business language detected | Active solicitation-type notice | Reasonable response window: 16 day(s) remaining | SDVOSB set-aside detected, but company profile does not show verified SDVOSB status."
actionable,No,,,,,,63,0,Review,Teaming/Subcontractor Target — Prime blocked by set-aside,pest_control,Unknown,SAM.gov,,No,,long_window,26,2026-06-15 03:00 PM UTC-04:00,2026-06-15 02:00 PM CDT,No,No,No,3,Unclear,unknown,unclear,Medium,Medium,No,,Yes,"SDVOSB set-aside detected, but company profile does not show verified SDVOSB status.",Yes,No,,No,,No,,No,,,No,,,No,,,,Yes,Medium,No,resource_links_unclassified,"direct_download=0, sam_detail_api=0, sam_notice_description_api=0, sam_workspace_page=0, external=0, unknown=3",0,,0,,0,,0,,0,,3,https://sam.gov/api/prod/opps/v3/opportunities/resources/files/0fc63b7583b14b2b96279d309aac2ad4/download | https://sam.gov/api/prod/opps/v3/opportunities/resources/files/aa1c0d7a7f3c461ab2ada29ff825ddfa/download | https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d5f34bb3b0b14ed6993a48cc56614c2d/download,Solicitation / RFQ / RFP,Unknown,Unknown,Unknown,Unknown,"combined synopsis, solicitation",Resource links exist but are not classified as downloadable. Manual review or selected detail enrichment is required.,downloads/36C78626Q50186,No,0,,,0,0,0,0,0,0,0,0,No,No,No,No,No,No,"No local files found. Download SAM.gov attachments manually into downloads/36C78626Q50186/, then rerun offline scan.",No,,,,,,,,,,No,3,Yes,https://sam.gov/api/prod/opps/v3/opportunities/resources/files/0fc63b7583b14b2b96279d309aac2ad4/download | https://sam.gov/api/prod/opps/v3/opportunities/resources/files/aa1c0d7a7f3c461ab2ada29ff825ddfa/download | https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d5f34bb3b0b14ed6993a48cc56614c2d/download,S207,"Pest Control Services, Houston National Cemetery","VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.NATIONAL CEMETERY ADMIN (36C786)",36C78626Q50186,36C78626Q50186,aa2b54a4982f4427a6053a6da80b9f89,561710,Combined Synopsis/Solicitation,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-15T15:00:00-04:00,2026-05-14,2026-06-30,"{'code': '35000', 'name': 'Houston'}, {'code': 'TX', 'name': 'Texas'}, 77038, {'code': 'USA', 'name': 'UNITED STATES'}",primary | Brian Werner | brian.werner2@va.gov,https://sam.gov/workspace/contract/opp/aa2b54a4982f4427a6053a6da80b9f89/view,,"Best matched lane: pest_control | Lane NAICS match: 561710 | Lane keywords: pest control | Company NAICS match: 561710 | Matched keywords: pest control | Matched core strengths: Pest control | Small business set-aside or small business language detected | Veteran-owned business language detected | Active solicitation-type notice | Longer response window: 26 day(s) remaining | SDVOSB set-aside detected, but company profile does not show verified SDVOSB status."
actionable,No,,,,,,62,0,Review,Teaming/Subcontractor Target — Prime blocked by set-aside,pest_control,Unknown,SAM.gov,,No,,urgent,6,2026-05-27 10:00 AM UTC-05:00,2026-05-27 10:00 AM CDT,No,No,No,3,Unclear,unknown,unclear,Medium,Medium,No,,Yes,"SDVOSB set-aside detected, but company profile does not show verified SDVOSB status.",Yes,No,,No,,No,,No,,,No,,,No,,,,Yes,Medium,No,resource_links_unclassified,"direct_download=0, sam_detail_api=0, sam_notice_description_api=0, sam_workspace_page=0, external=0, unknown=1",0,,0,,0,,0,,0,,1,https://sam.gov/api/prod/opps/v3/opportunities/resources/files/80712ad87b984e81bbeae359eccc8d2c/download,Solicitation / Attachment Package,Unknown,Unknown,Unknown,Unknown,,Resource links exist but are not classified as downloadable. Manual review or selected detail enrichment is required.,downloads/36C25726Q0539,No,0,,,0,0,0,0,0,0,0,0,No,No,No,No,No,No,"No local files found. Download SAM.gov attachments manually into downloads/36C25726Q0539/, then rerun offline scan.",No,,,,,,,,,,No,1,Yes,https://sam.gov/api/prod/opps/v3/opportunities/resources/files/80712ad87b984e81bbeae359eccc8d2c/download,S207,Integrated Pest Management Services - STX VAMC,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.257-NETWORK CONTRACT OFFICE 17 (36C257)",36C25726Q0539,36C25726Q0539,32972922dc8e40ac8373ecbc9c68724b,561710,Sources Sought,Service-Disabled Veteran-Owned Small Business Set Aside,2026-05-27T10:00:00-05:00,2026-05-06,2026-06-11,"{'code': '65000', 'name': 'San Antonio'}, {'code': 'TX', 'name': 'Texas'}, 78229, {'code': 'USA', 'name': 'UNITED STATES'}",primary | Mr. Shawn R. Reinhart | shawn.reinhart@va.gov | 2544216661,https://sam.gov/workspace/contract/opp/32972922dc8e40ac8373ecbc9c68724b/view,,"Best matched lane: pest_control | Lane NAICS match: 561710 | Lane keywords: integrated pest management, pest management | Company NAICS match: 561710 | Matched keywords: integrated pest management, pest management | Matched core strengths: Integrated pest management, Pest management | Small business set-aside or small business language detected | Veteran-owned business language detected | Sources sought notice — good chance to influence or introduce capability | Deadline is urgent: 6 day(s) remaining | SDVOSB set-aside detected, but company profile does not show verified SDVOSB status."
actionable,No,,,,,,59,59,Watch / Possible Subcontractor,Review as Prime or Teaming Candidate,training_documentation,Unknown,SAM.gov,,No,,reasonable,13,2026-06-02 04:00 PM UTC-04:00,2026-06-02 03:00 PM CDT,No,No,No,3,Unclear,unknown,unclear,Medium,Low,No,,No,,No,No,,No,,No,,No,,,No,,,No,,,,Yes,Medium,No,resource_links_unclassified,"direct_download=0, sam_detail_api=0, sam_notice_description_api=0, sam_workspace_page=0, external=0, unknown=1",0,,0,,0,,0,,0,,1,https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c4d54a2ed72a40cdb6693c0509e8d7cd/download,Solicitation / Attachment Package,Unknown,Unknown,Unknown,Unknown,,Resource links exist but are not classified as downloadable. Manual review or selected detail enrichment is required.,downloads/FA254926EISTRFI,No,0,,,0,0,0,0,0,0,0,0,No,No,No,No,No,No,"No local files found. Download SAM.gov attachments manually into downloads/FA254926EISTRFI/, then rerun offline scan.",No,,,,,,,,,,No,1,Yes,https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c4d54a2ed72a40cdb6693c0509e8d7cd/download,U008,STARCOM Delt 1 Enlisted Initial Skills Training,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.SPACE TRAINING AND READINESS COMMAND.FA2549 STARCOM CONTRACTING PK,FA254926EISTRFI,FA254926EISTRFI,8ebed717b1ad4e89803adb6226000246,611430,Sources Sought,Total Small Business Set-Aside (FAR 19.5),2026-06-02T16:00:00-04:00,2026-05-08,2026-06-17,"{'code': 'CA', 'name': 'California'}, 93437, {'code': 'USA', 'name': 'UNITED STATES'}",primary | Steven Thomas | steven.thomas.51@spaceforce.mil ; secondary | Brad O'Neil | bradley.oneil.2@spaceforce.mil,https://sam.gov/workspace/contract/opp/8ebed717b1ad4e89803adb6226000246/view,,Best matched lane: training_documentation | Lane NAICS match: 611430 | Lane keywords: training | Company NAICS match: 611430 | Matched keywords: training | Small business set-aside or small business language detected | Sources sought notice — good chance to influence or introduce capability | Reasonable response window: 13 day(s) remaining
actionable,No,,,,,,59,59,Watch / Possible Subcontractor,Review as Prime or Teaming Candidate,janitorial_facility_support,Unknown,SAM.gov,,No,,reasonable,19,2026-06-08 12:00 PM UTC-05:00,2026-06-08 12:00 PM CDT,No,No,No,3,Unclear,unknown,unclear,Medium,Low,No,,No,,No,No,,No,,No,,No,,,No,,,No,,,,Yes,Medium,No,resource_links_unclassified,"direct_download=0, sam_detail_api=0, sam_notice_description_api=0, sam_workspace_page=0, external=0, unknown=5",0,,0,,0,,0,,0,,5,https://sam.gov/api/prod/opps/v3/opportunities/resources/files/10ea7c3dadcc4bd0902f624c622d8f07/download | https://sam.gov/api/prod/opps/v3/opportunities/resources/files/307b822233634b2eb225395a217e87a0/download | https://sam.gov/api/prod/opps/v3/opportunities/resources/files/45afe8a359854c97aba1bbe462cc4a39/download | https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ca90c9fb631b4cd49fe563a2fd1cfac1/download | https://sam.gov/api/prod/opps/v3/opportunities/resources/files/edb1f72e0a504c21b3ee5ae3c6f5caf4/download,Solicitation / RFQ / RFP,Unknown,Unknown,Unknown,Unknown,"combined synopsis, solicitation",Resource links exist but are not classified as downloadable. Manual review or selected detail enrichment is required.,downloads/12639526Q0148,No,0,,,0,0,0,0,0,0,0,0,No,No,No,No,No,No,"No local files found. Download SAM.gov attachments manually into downloads/12639526Q0148/, then rerun offline scan.",No,,,,,,,,,,No,5,Yes,https://sam.gov/api/prod/opps/v3/opportunities/resources/files/10ea7c3dadcc4bd0902f624c622d8f07/download | https://sam.gov/api/prod/opps/v3/opportunities/resources/files/307b822233634b2eb225395a217e87a0/download | https://sam.gov/api/prod/opps/v3/opportunities/resources/files/45afe8a359854c97aba1bbe462cc4a39/download | https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ca90c9fb631b4cd49fe563a2fd1cfac1/download | https://sam.gov/api/prod/opps/v3/opportunities/resources/files/edb1f72e0a504c21b3ee5ae3c6f5caf4/download,S201,"Janitorial Services for USDA, APHIS, PPQ in Avoca, NY","AGRICULTURE, DEPARTMENT OF.ANIMAL AND PLANT HEALTH INSPECTION SERVICE.MRPBS MINNEAPOLIS MN",12639526Q0148,12639526Q0148,7d946b6181e24c15b4ee6ba825407582,561720,Combined Synopsis/Solicitation,Total Small Business Set-Aside (FAR 19.5),2026-06-08T12:00:00-05:00,2026-05-20,2026-06-23,"{'code': '3331', 'name': 'Avoca'}, {'code': 'NY', 'name': 'New York'}, 14809, {'code': 'USA', 'name': 'UNITED STATES'}",primary | Matthew Phillips | matthew.phillips3@usda.gov | 4793018811,https://sam.gov/workspace/contract/opp/7d946b6181e24c15b4ee6ba825407582/view,,Best matched lane: janitorial_facility_support | Lane NAICS match: 561720 | Lane keywords: janitorial | Company NAICS match: 561720 | Matched keywords: janitorial | Matched core strengths: Janitorial services | Small business set-aside or small business language detected | Active solicitation-type notice | Reasonable response window: 19 day(s) remaining
actionable,No,,,,,,59,59,Watch / Possible Subcontractor,Review as Prime or Teaming Candidate,janitorial_facility_support,Unknown,SAM.gov,,No,,reasonable,19,2026-06-08 02:00 PM UTC-05:00,2026-06-08 02:00 PM CDT,No,No,No,3,Unclear,unknown,unclear,Medium,Low,No,,No,,No,No,,No,,No,,No,,,No,,,No,,,,Yes,Medium,No,sam_detail_completed_no_attachments,"direct_download=0, sam_detail_api=1, sam_notice_description_api=0, sam_workspace_page=0, external=0, unknown=0",0,,1,https://api.sam.gov/prod/opportunities/v2/search?noticeid=736b1493599141ff840ec1e2e814ac40&limit=1,0,,0,,0,,0,,Solicitation / RFQ / RFP,Unknown,Unknown,Unknown,Unknown,"combined synopsis, solicitation","SAM detail enrichment was completed, but the API response did not expose downloadable attachments. Open the SAM.gov workspace manually or use a browser automation workflow to retrieve files.",downloads/W912BV26QA059,No,0,,,0,0,0,0,0,0,0,0,No,No,No,No,No,No,"No local files found. Download SAM.gov attachments manually into downloads/W912BV26QA059/, then rerun offline scan.",No,Yes,https://api.sam.gov/prod/opportunities/v2/search?noticeid=736b1493599141ff840ec1e2e814ac40&limit=1,"SAM detail enrichment completed, but the API response did not expose resourceLinks or attachments.",debug/sam_detail_W912BV26QA059.json,,"[{""rel"": ""self"", ""href"": ""https://api.sam.gov/prod/opportunities/v2/search?noticeid=736b1493599141ff840ec1e2e814ac40&limit=1""}]",,,,No,1,Yes,https://api.sam.gov/prod/opportunities/v2/search?noticeid=736b1493599141ff840ec1e2e814ac40&limit=1,S201,Tulsa Resident Office Janitorial Services,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION SOUTHWESTERN.ENDIST TULSA.W076 ENDIST TULSA,W912BV26QA059,W912BV26QA059,736b1493599141ff840ec1e2e814ac40,561720,Combined Synopsis/Solicitation,Total Small Business Set-Aside (FAR 19.5),2026-06-08T14:00:00-05:00,2026-05-19,2027-05-19,"{""streetAddress"": """", ""zip"": """"}",primary | Tyler Hastings | tyler.a.hastings@usace.army.mil | 9186694396,https://sam.gov/workspace/contract/opp/736b1493599141ff840ec1e2e814ac40/view,,Best matched lane: janitorial_facility_support | Lane NAICS match: 561720 | Lane keywords: janitorial | Company NAICS match: 561720 | Matched keywords: janitorial | Matched core strengths: Janitorial services | Small business set-aside or small business language detected | Active solicitation-type notice | Reasonable response window: 19 day(s) remaining
actionable,No,,,,,,59,59,Watch / Possible Subcontractor,Review as Prime or Teaming Candidate,janitorial_facility_support,Unknown,SAM.gov,,No,,reasonable,21,2026-06-10 01:00 PM UTC-07:00,2026-06-10 03:00 PM CDT,No,No,No,3,Unclear,unknown,unclear,Medium,Low,No,,No,,No,No,,No,,No,,No,,,No,,,No,,,,Yes,Medium,No,resource_links_unclassified,"direct_download=0, sam_detail_api=0, sam_notice_description_api=0, sam_workspace_page=0, external=0, unknown=1",0,,0,,0,,0,,0,,1,https://sam.gov/api/prod/opps/v3/opportunities/resources/files/68f6095bc4e6439299a62a7481781abc/download,Solicitation / RFQ / RFP,Unknown,Unknown,Unknown,Unknown,"combined synopsis, solicitation",Resource links exist but are not classified as downloadable. Manual review or selected detail enrichment is required.,downloads/1240BD26Q0051,No,0,,,0,0,0,0,0,0,0,0,No,No,No,No,No,No,"No local files found. Download SAM.gov attachments manually into downloads/1240BD26Q0051/, then rerun offline scan.",No,,,,,,,,,,No,1,Yes,https://sam.gov/api/prod/opps/v3/opportunities/resources/files/68f6095bc4e6439299a62a7481781abc/download,S201,"Janitorial Services, Newport Ranger Station","AGRICULTURE, DEPARTMENT OF.FOREST SERVICE.USDA-FS, CSA NORTHWEST 2",1240BD26Q0051,1240BD26Q0051,1589f8fa2e8949308037010122aca0b4,561720,Combined Synopsis/Solicitation,Total Small Business Set-Aside (FAR 19.5),2026-06-10T13:00:00-07:00,2026-05-19,2026-09-30,"{'code': '48820', 'name': 'Newport'}, {'code': 'WA', 'name': 'Washington'}, 99156, {'code': 'USA', 'name': 'UNITED STATES'}","primary | Brian A. Johnson, Contracting Officer | brian.johnson3@usda.gov | 5094232223",https://sam.gov/workspace/contract/opp/1589f8fa2e8949308037010122aca0b4/view,,Best matched lane: janitorial_facility_support | Lane NAICS match: 561720 | Lane keywords: janitorial | Company NAICS match: 561720 | Matched keywords: janitorial | Matched core strengths: Janitorial services | Small business set-aside or small business language detected | Active solicitation-type notice | Reasonable response window: 21 day(s) remaining
