award_id,generated_unique_award_id,piid,award_type,recipient_name,awarding_agency,awarding_subagency,funding_agency,description,naics,psc,award_amount,total_obligation,period_of_performance_start_date,period_of_performance_current_end_date,base_and_all_options_value,place_of_performance,source_query
W911SD17F0125,CONT_AWD_W911SD17F0125_9700_GS06F0013L_4730,W911SD17F0125,,"PESTMASTER SERVICES, L.P.",Department of Defense,Department of the Army,Department of Defense,0001 SCHEDULED  MAINT INTERIOR IGF::OT::IGF,561710,S207,3908552.81,,2017-09-15,2023-03-29,,,Query C - NAICS + title/lane terms
W911SD12P0133,CONT_AWD_W911SD12P0133_9700_-NONE-_-NONE-,W911SD12P0133,,"ALLEYMOR, INC.",Department of Defense,Department of the Army,Department of Defense,SCHLD PEST MANGT - INTERIOR,561710,S207,3618504.98,,2012-03-30,2017-09-29,,,Query C - NAICS + title/lane terms
36C26219C0115,CONT_AWD_36C26219C0115_3600_-NONE-_-NONE-,36C26219C0115,,CDS SERVICES INC,Department of Veterans Affairs,Department of Veterans Affairs,Department of Veterans Affairs,THE CONTRACTOR PROVIDES PEST CONTROL SERVICES,561710,F105,3426964.08,,2019-07-01,2024-06-30,,,Query C - NAICS + title/lane terms
47PE0222C0052,CONT_AWD_47PE0222C0052_4740_-NONE-_-NONE-,47PE0222C0052,,POWER HOUSE TERMITE AND PEST CONTROL INC.,General Services Administration,Public Buildings Service,General Services Administration,AWARD FOR THE SNAFC PEST CONTROL.,561710,S207,3246199.96,,2022-10-15,2023-10-17,,,Query C - NAICS + title/lane terms
W911RZ24F0001,CONT_AWD_W911RZ24F0001_9700_W9124823A2003_9700,W911RZ24F0001,,SOLUTIONS A.E. INC.,Department of Defense,Department of the Army,Department of Defense,3ABCT AGWASH,561710,F999,2426947.89,,2023-12-04,2024-01-31,,,Query C - NAICS + title/lane terms
W91QV119C0033,CONT_AWD_W91QV119C0033_9700_-NONE-_-NONE-,W91QV119C0033,,"ALEXANDRIA PEST SERVICES, INC.",Department of Defense,Department of the Army,Department of Defense,IGF::OT::IGF PEST MANAGEMENT SERVICES,561710,S207,2392124.52,,2019-04-26,2023-10-25,,,Query C - NAICS + title/lane terms
36C24920F0038,CONT_AWD_36C24920F0038_3600_GS21F139AA_4732,36C24920F0038,,"ACCORD FEDERAL SERVICES, LLC",Department of Veterans Affairs,Department of Veterans Affairs,Department of Veterans Affairs,TVHS - CHILLER MAINTENANCE SERVICES,561710,J041,2292393.6,,2019-10-01,2024-09-30,,,Query C - NAICS + title/lane terms
FA558719CA006,CONT_AWD_FA558719CA006_9700_-NONE-_-NONE-,FA558719CA006,,SAFESKYS LIMITED,Department of Defense,Department of the Air Force,Department of Defense,"THE CONTRACTOR SHALL PROVIDE A COMPREHENSIVE BIRD/WILDLIFE HAZARD CONTROL PROGRAM, WITH FOCUS ON ELIMINATING OR MINIMIZING WILDLIFE HAZARDS FOR SAFE AIR AND GROUND SUPPORT OPERATIONS AT RAF LAKENHEATH (RAFL) AND RAF MILDENHALL (RAFM).",561710,F019,2192913.23,,2019-06-15,2023-12-16,,,Query C - NAICS + title/lane terms
N6247320F4611,CONT_AWD_N6247320F4611_9700_N6247320D0050_9700,N6247320F4611,,"CHUGACH CONSOLIDATED SOLUTIONS, LLC",Department of Defense,Department of the Navy,Department of Defense,FUNDING TASK ORDER MOSQUITO LARVAL AND PEST CONTROL: ABOARD MARI,561710,S207,2189844.98,,2020-04-16,2025-04-15,,,Query C - NAICS + title/lane terms
36C25623F0084,CONT_AWD_36C25623F0084_3600_GS21F139AA_4732,36C25623F0084,,"ACCORD FEDERAL SERVICES, LLC",Department of Veterans Affairs,Department of Veterans Affairs,Department of Veterans Affairs,GROUNDS MAINTENANCE SERVICES FOR LITTLE ROCK AND NORTH LITTLE ROCK CAMPUSES,561710,S208,2176485.12,,2023-01-03,2027-01-02,,,Query C - NAICS + title/lane terms
