award_id,generated_unique_award_id,piid,award_type,recipient_name,awarding_agency,awarding_subagency,funding_agency,description,naics,psc,award_amount,total_obligation,period_of_performance_start_date,period_of_performance_current_end_date,base_and_all_options_value,place_of_performance,source_query
W81K0421C0001,CONT_AWD_W81K0421C0001_9700_-NONE-_-NONE-,W81K0421C0001,,J & J MAINTENANCE INC,Department of Defense,Department of the Army,Department of Defense,"HEALTHCARE HOUSEKEEPING SERVICES, BROOKE ARMY MEDICAL CENTER, FORT SAM HOUSTON, TX",561720,S299,174791086.31,,2021-02-01,2025-11-30,,,Query C - NAICS + title/lane terms
70LGLY18CGLB00003,CONT_AWD_70LGLY18CGLB00003_7015_-NONE-_-NONE-,70LGLY18CGLB00003,,B & O JOINT VENTURE LLC,Department of Homeland Security,Federal Law Enforcement Training Center,Department of Homeland Security,"IGF::CT::IGF DORM MANAGEMENT SERVICES CONTRACT, GLYNCO, GA",561720,S201,111766954.27,,2018-09-01,2024-12-31,,,Query C - NAICS + title/lane terms
47PC0622F0003,CONT_AWD_47PC0622F0003_4740_47PC0622A0002_4740,47PC0622F0003,,"FEDCAP REHABILITATION SERVICES, INC",General Services Administration,Public Buildings Service,General Services Administration,"BASE PERIOD JANITORIAL SERVICES CONTRACT FOR MANHATTAN, GSA PBS REGION 2.",561720,S201,109895371.96,,2022-01-01,2026-12-31,,,Query C - NAICS + title/lane terms
GSP0217PV0044,CONT_AWD_GSP0217PV0044_4740_GS02P17PVA0002_4740,GSP0217PV0044,,"FEDCAP REHABILITATION SERVICES, INC",General Services Administration,Public Buildings Service,General Services Administration,IGF::OT::IGF MANHATTAN CAMPUS CUSTODIAL SERVICES,561720,S201,109214364.68,,2016-12-01,2021-12-31,,,Query C - NAICS + title/lane terms
W9124P21C0002,CONT_AWD_W9124P21C0002_9700_-NONE-_-NONE-,W9124P21C0002,,HUNTSVILLE REHABILITATION FOUNDATION,Department of Defense,Department of the Army,Department of Defense,CUSTODIAL SERVICE  BASIC (B)  NEW CONTRACT FOR CUSTODIAL,561720,S201,66953546.97,,2020-11-01,2026-04-30,,,Query C - NAICS + title/lane terms
36C24821C0013,CONT_AWD_36C24821C0013_3600_-NONE-_-NONE-,36C24821C0013,,OS-DB-JV-2 LLC,Department of Veterans Affairs,Department of Veterans Affairs,Department of Veterans Affairs,"TO PROVIDE JANITORIAL SERVICES AT THE VA CARIBBEAN HEALTHCARE SYSTEM (VACHS), SOUTH BED TOWER (SBT), PONCE OUTPATIENT CLINIC (POPC), AND MAYAGUEZ OUTPATIENT CLINIC (MOPC).",561720,S201,60409484.61,,2021-04-01,2026-04-30,,,Query C - NAICS + title/lane terms
HT001521C5005,CONT_AWD_HT001521C5005_9700_-NONE-_-NONE-,HT001521C5005,,"THE VICTOR GROUP, INC.",Department of Defense,Defense Health Agency,Department of Defense,HEALTHCARE ASEPTIC MANAGEMENT SERVICES,561720,S201,55173845.85,,2021-09-01,2025-08-13,,,Query C - NAICS + title/lane terms
FA810118C0001,CONT_AWD_FA810118C0001_9700_-NONE-_-NONE-,FA810118C0001,,"DALE ROGERS TRAINING CENTER, INC.",Department of Defense,Department of the Air Force,Department of Defense,ABW CUSTODIAL CONTRACT AWARD BASE: 1 MAY 18 - 30 SEP 18,561720,S201,53944047.07,,2018-05-01,2023-03-31,,,Query C - NAICS + title/lane terms
HQ003422C0059,CONT_AWD_HQ003422C0059_9700_-NONE-_-NONE-,HQ003422C0059,,DIDLAKE INC,Department of Defense,Washington Headquarters Services,Department of Defense,"ABILITYONE CUSTODIAL SERVICES, PENTAGON (FLOORS 1, 5, BASEMENT, MEZZANINE, PENTAGON LIBRARY AND CONFERENCE CENTER, NORTH VILLAGE/COMPOUND, PENTAGON ATHLETIC CENTER)",561720,S201,53326158.45,,2022-05-27,2026-12-31,,,Query C - NAICS + title/lane terms
HT001521C5003,CONT_AWD_HT001521C5003_9700_-NONE-_-NONE-,HT001521C5003,,"MAIN BUILDING MAINTENANCE, INC.",Department of Defense,Defense Health Agency,Department of Defense,HEALTHCARE ASEPTIC MANAGEMENT SERVICES - NORTHWEST REGION,561720,S201,50586728.75,,2021-09-01,2025-08-13,,,Query C - NAICS + title/lane terms
